run,selection,success,task,trajectory,turn,terminal,observation,action_valid,history,future,combined,raw_progress,current_J,future_J,current_lambda,future_lambda
M10,highest opposite-sign turn fraction within outcome; length tiebreak,True,281a7ce3-6087-4567-876e-32f1ce6590ed,312feb6e-9d81-4901-a35f-abede7e26823,0,False,"-= Welcome to TextWorld, ALFRED! =-

You are in the middle of a room. Looking quickly around you, you see a bed 1, a desk 1, a drawer 17, a drawer 16, a drawer 15, a drawer 14, a drawer 13, a drawer 12, a drawer 11, a drawer 10, a drawer 9, a drawer 8, a drawer 7, a drawer 6, a drawer 5, a drawer 4, a drawer 3, a drawer 2, a drawer 1, a dresser 1, ",1.0,0.847332195938953,-0.010927817659597076,0.8364044427871704,0.0,7.0,7.0,0.7777777777777778,0.7777777777777778
M10,highest opposite-sign turn fraction within outcome; length tiebreak,True,281a7ce3-6087-4567-876e-32f1ce6590ed,312feb6e-9d81-4901-a35f-abede7e26823,1,False,"You arrive at dresser 1. On the dresser 1, you see a alarmclock 2, a cellphone 2, a desklamp 1, and a pencil 3.",1.0,0.8927188465840206,-0.010927817659597076,0.8817911148071289,0.0,7.0,7.0,0.7777777777777778,0.7777777777777778
M10,highest opposite-sign turn fraction within outcome; length tiebreak,True,281a7ce3-6087-4567-876e-32f1ce6590ed,312feb6e-9d81-4901-a35f-abede7e26823,2,False,"You arrive at bed 1. On the bed 1, you see a book 1, a cellphone 3, a laptop 1, and a pillow 1.",1.0,0.9404942683156708,-0.010927817659597076,0.9295664429664612,0.0,7.0,7.0,0.7777777777777778,0.7777777777777778
M10,highest opposite-sign turn fraction within outcome; length tiebreak,True,281a7ce3-6087-4567-876e-32f1ce6590ed,312feb6e-9d81-4901-a35f-abede7e26823,3,False,"You arrive at desk 1. On the desk 1, you see a alarmclock 1, a bowl 1, a cd 1, a mug 1, a pen 1, a pencil 2, and a tissuebox 1.",1.0,0.9907841803417793,-0.010927817659597076,0.9798563718795776,0.0,7.0,7.0,0.7777777777777778,0.7777777777777778
M10,highest opposite-sign turn fraction within outcome; length tiebreak,True,281a7ce3-6087-4567-876e-32f1ce6590ed,312feb6e-9d81-4901-a35f-abede7e26823,4,False,"You arrive at dresser 1. On the dresser 1, you see a alarmclock 2, a cellphone 2, a desklamp 1, and a pencil 3.",1.0,1.043720935429101,-0.010927817659597076,1.0327931642532349,0.0,7.0,7.0,0.7777777777777778,0.7777777777777778
M10,highest opposite-sign turn fraction within outcome; length tiebreak,True,281a7ce3-6087-4567-876e-32f1ce6590ed,312feb6e-9d81-4901-a35f-abede7e26823,5,False,Nothing happens.,1.0,1.099443891382567,-0.010927817659597076,1.088516116142273,0.0,7.0,7.0,0.7777777777777778,0.7777777777777778
M10,highest opposite-sign turn fraction within outcome; length tiebreak,True,281a7ce3-6087-4567-876e-32f1ce6590ed,312feb6e-9d81-4901-a35f-abede7e26823,6,False,"You arrive at bed 1. On the bed 1, you see a book 1, a cellphone 3, a laptop 1, and a pillow 1.",1.0,1.158099623319169,-0.010927817659597076,1.1471718549728394,0.0,7.0,7.0,0.7777777777777778,0.7777777777777778
M10,highest opposite-sign turn fraction within outcome; length tiebreak,True,281a7ce3-6087-4567-876e-32f1ce6590ed,312feb6e-9d81-4901-a35f-abede7e26823,7,False,"You arrive at dresser 1. On the dresser 1, you see a alarmclock 2, a cellphone 2, a desklamp 1, and a pencil 3.",1.0,1.2198424543526691,-0.010927817659597076,1.2089146375656128,0.0,7.0,7.0,0.7777777777777778,0.7777777777777778
M10,highest opposite-sign turn fraction within outcome; length tiebreak,True,281a7ce3-6087-4567-876e-32f1ce6590ed,312feb6e-9d81-4901-a35f-abede7e26823,8,False,"You arrive at desk 1. On the desk 1, you see a alarmclock 1, a bowl 1, a cd 1, a mug 1, a pen 1, a pencil 2, and a tissuebox 1.",1.0,1.2848348801413687,-0.010927817659597076,1.2739070653915405,0.0,7.0,7.0,0.7777777777777778,0.7777777777777778
M10,highest opposite-sign turn fraction within outcome; length tiebreak,True,281a7ce3-6087-4567-876e-32f1ce6590ed,312feb6e-9d81-4901-a35f-abede7e26823,9,False,"You arrive at dresser 1. On the dresser 1, you see a alarmclock 2, a cellphone 2, a desklamp 1, and a pencil 3.",1.0,1.353247993435876,-0.010927817659597076,1.342320203781128,0.0,7.0,7.0,0.7777777777777778,0.7777777777777778
